JobID,startTime,submitTime,user
755214,Sat Apr 20 12:34:45 CDT 2019,Sat Apr 20 12:34:44 CDT 2019,janfisch
755220,Sat Apr 20 13:13:18 CDT 2019,Sat Apr 20 13:13:18 CDT 2019,stepcouc
755221,Sat Apr 20 13:13:47 CDT 2019,Sat Apr 20 13:13:47 CDT 2019,msanati
755223,Sat Apr 20 13:15:46 CDT 2019,Sat Apr 20 13:15:46 CDT 2019,msanati
755224,Sat Apr 20 13:39:41 CDT 2019,Sat Apr 20 13:25:45 CDT 2019,uozuguze
755225,Sat Apr 20 13:39:42 CDT 2019,Sat Apr 20 13:25:46 CDT 2019,uozuguze
755226,Sat Apr 20 13:39:42 CDT 2019,Sat Apr 20 13:25:46 CDT 2019,uozuguze
755227,Sat Apr 20 13:39:42 CDT 2019,Sat Apr 20 13:25:46 CDT 2019,uozuguze
755228,Sat Apr 20 13:39:42 CDT 2019,Sat Apr 20 13:25:46 CDT 2019,uozuguze
755229,Sat Apr 20 13:39:42 CDT 2019,Sat Apr 20 13:25:46 CDT 2019,uozuguze
755230,Sat Apr 20 13:39:42 CDT 2019,Sat Apr 20 13:25:46 CDT 2019,uozuguze
754207,Sat Apr 20 04:10:46 CDT 2019,Thu Apr 18 08:40:52 CDT 2019,rafiisla
755232,Sat Apr 20 13:39:42 CDT 2019,Sat Apr 20 13:25:46 CDT 2019,uozuguze
754209,Sat Apr 20 07:36:51 CDT 2019,Thu Apr 18 08:40:52 CDT 2019,rafiisla
755234,Sat Apr 20 13:39:42 CDT 2019,Sat Apr 20 13:25:46 CDT 2019,uozuguze
754211,Sat Apr 20 20:11:44 CDT 2019,Thu Apr 18 08:40:53 CDT 2019,rafiisla
754212,Sat Apr 20 21:06:20 CDT 2019,Thu Apr 18 08:40:53 CDT 2019,rafiisla
754213,Sat Apr 20 21:40:19 CDT 2019,Thu Apr 18 08:40:53 CDT 2019,rafiisla
754214,Sat Apr 20 22:04:36 CDT 2019,Thu Apr 18 08:40:53 CDT 2019,rafiisla
754215,Sat Apr 20 23:21:23 CDT 2019,Thu Apr 18 08:40:54 CDT 2019,rafiisla
755240,Sat Apr 20 13:53:27 CDT 2019,Sat Apr 20 13:25:47 CDT 2019,uozuguze
