JobID,user,submitTime,startTime,finishTime
754085,che80809,Wed Apr 17 17:34:01 CDT 2019,Sat Apr 20 02:04:31 CDT 2019
754293,sabaty,Thu Apr 18 10:05:31 CDT 2019,Thu Apr 18 11:03:41 CDT 2019
755188,hge,Fri Apr 19 23:39:39 CDT 2019,Sat Apr 20 08:42:41 CDT 2019
755189,hge,Fri Apr 19 23:41:40 CDT 2019,Sat Apr 20 11:40:54 CDT 2019
755190,msanati,Sat Apr 20 01:18:50 CDT 2019,Sat Apr 20 01:18:50 CDT 2019,2019-04-20T02:05:00Z
755192,msanati,Sat Apr 20 02:23:05 CDT 2019,Sat Apr 20 02:23:05 CDT 2019,2019-04-20T03:50:00Z
755193,msanati,Sat Apr 20 02:25:24 CDT 2019,Sat Apr 20 02:42:43 CDT 2019,2019-04-20T11:30:00Z
755194,msanati,Sat Apr 20 02:53:48 CDT 2019,Sat Apr 20 02:53:48 CDT 2019,2019-04-20T04:15:00Z
755195,msanati,Sat Apr 20 02:54:56 CDT 2019,Sat Apr 20 02:54:56 CDT 2019,2019-04-20T04:30:00Z
755196,msanati,Sat Apr 20 03:08:12 CDT 2019,Sat Apr 20 03:08:12 CDT 2019,2019-04-20T03:10:00Z
755197,msanati,Sat Apr 20 03:08:28 CDT 2019,Sat Apr 20 03:09:16 CDT 2019,2019-04-20T04:50:00Z
755198,msanati,Sat Apr 20 03:09:20 CDT 2019,Sat Apr 20 03:11:35 CDT 2019,2019-04-20T04:40:00Z
755199,msanati,Sat Apr 20 03:55:29 CDT 2019,Sat Apr 20 03:55:30 CDT 2019,2019-04-20T04:55:00Z
755200,msanati,Sat Apr 20 03:59:10 CDT 2019,Sat Apr 20 03:59:10 CDT 2019,2019-04-20T05:35:00Z
755201,msanati,Sat Apr 20 04:00:39 CDT 2019,Sat Apr 20 04:00:39 CDT 2019,2019-04-20T17:30:00Z
755204,janfisch,Sat Apr 20 09:43:21 CDT 2019,Sat Apr 20 09:43:22 CDT 2019,2019-04-20T14:40:00Z
755205,wan39502,Sat Apr 20 09:50:15 CDT 2019,Sat Apr 20 09:50:15 CDT 2019
755206,janfisch,Sat Apr 20 10:22:44 CDT 2019,Sat Apr 20 10:22:44 CDT 2019,2019-04-20T10:50:00Z
755209,jieyao,Sat Apr 20 10:45:17 CDT 2019,Sat Apr 20 20:52:45 CDT 2019
755213,stepcouc,Sat Apr 20 11:15:53 CDT 2019,Sat Apr 20 11:15:54 CDT 2019,2019-04-20T13:00:00Z
755214,janfisch,Sat Apr 20 12:34:44 CDT 2019,Sat Apr 20 12:34:45 CDT 2019,2019-04-20T13:05:00Z
755220,stepcouc,Sat Apr 20 13:13:18 CDT 2019,Sat Apr 20 13:13:18 CDT 2019,2019-04-20T13:55:00Z
755221,msanati,Sat Apr 20 13:13:47 CDT 2019,Sat Apr 20 13:13:47 CDT 2019,2019-04-20T15:05:00Z
755223,msanati,Sat Apr 20 13:15:46 CDT 2019,Sat Apr 20 13:15:46 CDT 2019,2019-04-20T15:05:00Z
755224,uozuguze,Sat Apr 20 13:25:45 CDT 2019,Sat Apr 20 13:39:41 CDT 2019,2019-04-20T22:10:00Z
755225,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755226,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019,2019-04-20T19:35:00Z
755227,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755228,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755229,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
755230,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019
754207,rafiisla,Thu Apr 18 08:40:52 CDT 2019,Sat Apr 20 04:10:46 CDT 2019
755232,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019,2019-04-20T19:30:00Z
754209,rafiisla,Thu Apr 18 08:40:52 CDT 2019,Sat Apr 20 07:36:51 CDT 2019,2019-04-20T21:40:00Z
755234,uozuguze,Sat Apr 20 13:25:46 CDT 2019,Sat Apr 20 13:39:42 CDT 2019,2019-04-20T19:30:00Z
754211,rafiisla,Thu Apr 18 08:40:53 CDT 2019,Sat Apr 20 20:11:44 CDT 2019
754212,rafiisla,Thu Apr 18 08:40:53 CDT 2019,Sat Apr 20 21:06:20 CDT 2019
754213,rafiisla,Thu Apr 18 08:40:53 CDT 2019,Sat Apr 20 21:40:19 CDT 2019
754214,rafiisla,Thu Apr 18 08:40:53 CDT 2019,Sat Apr 20 22:04:36 CDT 2019
754215,rafiisla,Thu Apr 18 08:40:54 CDT 2019,Sat Apr 20 23:21:23 CDT 2019
755240,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755241,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755242,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755243,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755244,uozuguze,Sat Apr 20 13:25:47 CDT 2019,Sat Apr 20 13:53:27 CDT 2019,2019-04-20T21:05:00Z
755245,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019,2019-04-20T19:40:00Z
755246,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755247,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755248,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755249,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:53:27 CDT 2019
755250,uozuguze,Sat Apr 20 13:28:00 CDT 2019,Sat Apr 20 13:55:26 CDT 2019
755251,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 13:55:27 CDT 2019
755252,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:17 CDT 2019
755253,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755254,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755255,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755256,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019,2019-04-20T20:05:00Z
755257,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019,2019-04-20T20:10:00Z
755258,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:01:18 CDT 2019
755259,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:08:12 CDT 2019
755260,uozuguze,Sat Apr 20 13:28:01 CDT 2019,Sat Apr 20 14:08:14 CDT 2019,2019-04-20T22:15:00Z
755261,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 14:08:14 CDT 2019,2019-04-20T15:15:00Z
755262,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 14:08:14 CDT 2019
755263,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 15:01:49 CDT 2019,2019-04-20T17:30:00Z
755264,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 15:01:50 CDT 2019
755265,uozuguze,Sat Apr 20 13:28:02 CDT 2019,Sat Apr 20 15:06:12 CDT 2019
755266,janfisch,Sat Apr 20 13:28:29 CDT 2019,Sat Apr 20 13:39:42 CDT 2019,2019-04-20T14:10:00Z
755267,janfisch,Sat Apr 20 14:14:08 CDT 2019,Sat Apr 20 14:40:25 CDT 2019,2019-04-20T15:10:00Z
755268,obazgir,Sat Apr 20 14:20:12 CDT 2019,Sat Apr 20 14:40:24 CDT 2019
755269,msanati,Sat Apr 20 14:39:07 CDT 2019,Sat Apr 20 14:40:25 CDT 2019
755270,msanati,Sat Apr 20 14:39:55 CDT 2019,Sat Apr 20 15:08:12 CDT 2019
755271,msanati,Sat Apr 20 14:40:48 CDT 2019,Sat Apr 20 15:28:01 CDT 2019
755272,msanati,Sat Apr 20 14:41:15 CDT 2019,Sat Apr 20 15:28:02 CDT 2019
755273,msanati,Sat Apr 20 14:42:17 CDT 2019,Sat Apr 20 17:27:15 CDT 2019
755274,msanati,Sat Apr 20 15:33:33 CDT 2019,Sat Apr 20 17:47:31 CDT 2019
755276,akitazum,Sat Apr 20 16:57:53 CDT 2019,Sat Apr 20 16:57:53 CDT 2019,2019-04-20T17:15:00Z
755278,stepcouc,Sat Apr 20 17:36:00 CDT 2019,Sat Apr 20 17:36:00 CDT 2019,2019-04-20T19:05:00Z
755283,rmanser,Sat Apr 20 17:43:45 CDT 2019,Sat Apr 20 17:47:31 CDT 2019
755284,rmanser,Sat Apr 20 17:43:48 CDT 2019,Sat Apr 20 19:02:06 CDT 2019
755286,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T21:05:00Z
755287,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T21:10:00Z
755288,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T19:40:00Z
755289,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T19:30:00Z
755290,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T19:30:00Z
755291,akitazum,Sat Apr 20 18:42:28 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T20:10:00Z
755292,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T19:40:00Z
755293,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T20:50:00Z
755294,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T19:55:00Z
755295,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T20:00:00Z
755296,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T19:50:00Z
755297,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:06 CDT 2019,2019-04-20T21:10:00Z
755298,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:07 CDT 2019,2019-04-20T20:55:00Z
755299,akitazum,Sat Apr 20 18:42:29 CDT 2019,Sat Apr 20 19:02:07 CDT 2019,2019-04-20T19:40:00Z
755300,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019,2019-04-20T21:10:00Z
755301,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019,2019-04-20T20:35:00Z
755302,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019,2019-04-20T20:35:00Z
755303,akitazum,Sat Apr 20 18:42:30 CDT 2019,Sat Apr 20 19:02:07 CDT 2019,2019-04-20T19:30:00Z
