CMDLINE /opt/rh/rh-python36/password/usr/bin/python3 MetricsBuilder2.py
MEM 79.238281 1572297046.8353
MEM 79.308594 1572297046.9360
MEM 79.308594 1572297047.0368
MEM 79.562500 1572297047.1374
MEM 79.562500 1572297047.2382
MEM 79.562500 1572297047.3389
MEM 79.562500 1572297047.4395
MEM 79.562500 1572297047.5403
MEM 79.562500 1572297047.6410
MEM 79.562500 1572297047.7418
MEM 79.562500 1572297047.8425
MEM 79.562500 1572297047.9430
MEM 79.562500 1572297048.0438
MEM 79.562500 1572297048.1445
MEM 79.628906 1572297048.2452
MEM 80.406250 1572297048.3459
MEM 80.597656 1572297048.4465
MEM 80.652344 1572297048.5470
MEM 80.683594 1572297048.6477
MEM 80.820312 1572297048.7483
MEM 81.046875 1572297048.8491
MEM 81.242188 1572297048.9497
MEM 81.460938 1572297049.0504
MEM 81.507812 1572297049.1511
MEM 81.601562 1572297049.2517
MEM 81.652344 1572297049.3523
MEM 81.652344 1572297049.4531
MEM 81.742188 1572297049.5538
MEM 81.742188 1572297049.6545
MEM 81.742188 1572297049.7552
MEM 81.742188 1572297049.8560
MEM 81.941406 1572297049.9566
MEM 81.941406 1572297050.0573
MEM 81.941406 1572297050.1581
MEM 82.101562 1572297050.2588
MEM 82.101562 1572297050.3595
MEM 82.101562 1572297050.4601
MEM 82.242188 1572297050.5607
MEM 82.300781 1572297050.6614
MEM 82.421875 1572297050.7620
MEM 82.902344 1572297050.8627
MEM 82.929688 1572297050.9634
MEM 83.222656 1572297051.0641
MEM 83.285156 1572297051.1649
MEM 83.324219 1572297051.2655
MEM 83.359375 1572297051.3662
MEM 83.710938 1572297051.4668
MEM 83.964844 1572297051.5675
MEM 83.964844 1572297051.6682
MEM 83.964844 1572297051.7688
MEM 83.964844 1572297051.8695
MEM 83.964844 1572297051.9702
MEM 83.964844 1572297052.0709
MEM 84.039062 1572297052.1715
MEM 84.039062 1572297052.2722
MEM 84.039062 1572297052.3729
MEM 84.039062 1572297052.4735
MEM 84.039062 1572297052.5741
MEM 84.800781 1572297052.6748
MEM 84.953125 1572297052.7754
MEM 85.312500 1572297052.8760
MEM 85.390625 1572297052.9767
MEM 85.429688 1572297053.0774
MEM 85.609375 1572297053.1780
MEM 85.652344 1572297053.2786
MEM 85.738281 1572297053.3792
MEM 85.878906 1572297053.4799
MEM 85.957031 1572297053.5806
MEM 85.992188 1572297053.6812
MEM 86.035156 1572297053.7819
MEM 86.035156 1572297053.8825
MEM 86.035156 1572297053.9833
MEM 86.035156 1572297054.0840
MEM 86.035156 1572297054.1847
MEM 86.289062 1572297054.2852
MEM 86.359375 1572297054.3859
MEM 86.613281 1572297054.4866
MEM 86.613281 1572297054.5872
MEM 86.613281 1572297054.6879
MEM 86.613281 1572297054.7886
MEM 86.613281 1572297054.8893
MEM 86.613281 1572297054.9900
MEM 86.613281 1572297055.0906
MEM 86.617188 1572297055.1913
MEM 86.628906 1572297055.2919
MEM 86.664062 1572297055.3926
MEM 87.453125 1572297055.4932
MEM 87.523438 1572297055.5940
MEM 87.933594 1572297055.6947
MEM 87.945312 1572297055.7954
MEM 88.007812 1572297055.8961
MEM 88.050781 1572297055.9968
MEM 88.062500 1572297056.0974
MEM 88.062500 1572297056.1982
MEM 88.062500 1572297056.2988
MEM 88.109375 1572297056.3995
MEM 88.109375 1572297056.5002
MEM 88.109375 1572297056.6007
MEM 88.113281 1572297056.7014
MEM 88.367188 1572297056.8021
MEM 88.367188 1572297056.9027
MEM 88.398438 1572297057.0033
MEM 88.398438 1572297057.1039
MEM 88.398438 1572297057.2046
MEM 88.398438 1572297057.3052
MEM 88.410156 1572297057.4058
MEM 88.457031 1572297057.5065
MEM 88.640625 1572297057.6070
MEM 88.988281 1572297057.7076
MEM 89.058594 1572297057.8082
MEM 89.902344 1572297057.9090
MEM 90.261719 1572297058.0096
MEM 90.281250 1572297058.1103
MEM 90.347656 1572297058.2110
MEM 90.429688 1572297058.3116
MEM 90.554688 1572297058.4123
MEM 91.062500 1572297058.5131
MEM 91.062500 1572297058.6138
MEM 91.062500 1572297058.7144
MEM 91.062500 1572297058.8151
MEM 91.062500 1572297058.9158
MEM 91.062500 1572297059.0164
MEM 91.062500 1572297059.1170
MEM 91.062500 1572297059.2177
MEM 91.062500 1572297059.3184
MEM 91.062500 1572297059.4190
MEM 91.386719 1572297059.5196
MEM 91.386719 1572297059.6203
MEM 92.125000 1572297059.7210
MEM 92.132812 1572297059.8217
MEM 92.171875 1572297059.9224
MEM 92.207031 1572297060.0230
MEM 92.261719 1572297060.1237
MEM 92.304688 1572297060.2243
MEM 92.457031 1572297060.3250
MEM 92.488281 1572297060.4257
MEM 92.867188 1572297060.5263
MEM 92.886719 1572297060.6270
MEM 92.914062 1572297060.7276
MEM 92.914062 1572297060.8283
MEM 92.914062 1572297060.9300
MEM 92.914062 1572297061.0305
MEM 92.914062 1572297061.1309
MEM 92.914062 1572297061.2315
MEM 92.914062 1572297061.3320
MEM 93.750000 1572297061.4325
MEM 95.117188 1572297061.5330
MEM 95.863281 1572297061.6335
MEM 96.011719 1572297061.7340
MEM 96.128906 1572297061.8345
MEM 96.277344 1572297061.9350
MEM 96.500000 1572297062.0359
MEM 98.531250 1572297062.1381
MEM 99.300781 1572297062.2386
MEM 99.300781 1572297062.3432
MEM 99.300781 1572297062.4450
MEM 99.300781 1572297062.5456
MEM 99.300781 1572297062.6461
MEM 100.410156 1572297062.7467
MEM 100.164062 1572297062.8472
MEM 100.164062 1572297062.9478
MEM 100.164062 1572297063.0483
MEM 100.164062 1572297063.1489
MEM 100.164062 1572297063.2494
MEM 100.164062 1572297063.3499
MEM 100.164062 1572297063.4505
MEM 100.164062 1572297063.5511
MEM 100.164062 1572297063.6516
MEM 100.164062 1572297063.7522
MEM 100.164062 1572297063.8527
MEM 100.187500 1572297063.9532
MEM 100.203125 1572297064.0550
MEM 100.203125 1572297064.1589
MEM 100.230469 1572297064.2594
MEM 100.230469 1572297064.3599
MEM 100.257812 1572297064.4604
MEM 100.257812 1572297064.5615
MEM 100.351562 1572297064.6620
MEM 100.351562 1572297064.7624
MEM 100.351562 1572297064.8659
MEM 100.398438 1572297064.9665
MEM 100.398438 1572297065.0669
MEM 100.398438 1572297065.1706
MEM 100.398438 1572297065.2712
MEM 100.398438 1572297065.3749
MEM 100.398438 1572297065.4754
MEM 100.398438 1572297065.5790
MEM 100.398438 1572297065.6795
MEM 100.398438 1572297065.7809
MEM 100.398438 1572297065.8814
MEM 100.445312 1572297065.9819
MEM 100.445312 1572297066.0824
MEM 101.531250 1572297066.1829
MEM 101.371094 1572297066.2869
MEM 101.371094 1572297066.3875
MEM 101.371094 1572297066.4905
MEM 101.421875 1572297066.5949
MEM 101.421875 1572297066.6954
MEM 101.457031 1572297066.7959
MEM 101.457031 1572297066.8965
MEM 101.457031 1572297066.9974
MEM 101.457031 1572297067.0979
MEM 101.519531 1572297067.1984
MEM 101.519531 1572297067.3010
MEM 101.800781 1572297067.4016
MEM 102.066406 1572297067.5059
MEM 102.164062 1572297067.6064
MEM 102.417969 1572297067.7069
MEM 102.417969 1572297067.8075
MEM 103.285156 1572297067.9080
MEM 103.847656 1572297068.0085
MEM 103.585938 1572297068.1114
MEM 104.617188 1572297068.2150
MEM 105.171875 1572297068.3155
MEM 105.171875 1572297068.4159
MEM 105.171875 1572297068.5164
MEM 105.171875 1572297068.6170
MEM 106.648438 1572297068.7175
MEM 107.324219 1572297068.8200
MEM 107.339844 1572297068.9205
MEM 107.898438 1572297069.0221
MEM 108.574219 1572297069.1226
MEM 108.574219 1572297069.2231
MEM 108.675781 1572297069.3237
MEM 109.277344 1572297069.4242
MEM 109.988281 1572297069.5248
MEM 110.246094 1572297069.6253
MEM 110.347656 1572297069.7259
MEM 110.675781 1572297069.8264
MEM 110.675781 1572297069.9270
MEM 110.675781 1572297070.0275
MEM 111.242188 1572297070.1280
MEM 112.300781 1572297070.2285
MEM 112.207031 1572297070.3290
MEM 112.683594 1572297070.4297
MEM 112.871094 1572297070.5303
MEM 113.582031 1572297070.6323
MEM 114.187500 1572297070.7328
MEM 114.644531 1572297070.8334
MEM 115.136719 1572297070.9339
MEM 116.398438 1572297071.0345
MEM 116.789062 1572297071.1350
MEM 116.789062 1572297071.2362
MEM 117.218750 1572297071.3368
MEM 117.621094 1572297071.4380
MEM 118.406250 1572297071.5386
MEM 119.292969 1572297071.6401
MEM 119.746094 1572297071.7408
MEM 120.000000 1572297071.8415
MEM 120.359375 1572297071.9420
MEM 120.613281 1572297072.0426
MEM 121.121094 1572297072.1433
MEM 121.929688 1572297072.2439
MEM 122.441406 1572297072.3446
MEM 122.953125 1572297072.4464
MEM 122.953125 1572297072.5471
MEM 123.308594 1572297072.6478
MEM 123.500000 1572297072.7484
MEM 123.941406 1572297072.8490
MEM 124.039062 1572297072.9496
MEM 124.464844 1572297073.0503
MEM 125.363281 1572297073.1510
MEM 125.675781 1572297073.2516
MEM 126.414062 1572297073.3522
MEM 127.042969 1572297073.4528
MEM 127.808594 1572297073.5535
MEM 129.289062 1572297073.6540
MEM 129.714844 1572297073.7546
MEM 129.882812 1572297073.8552
MEM 130.296875 1572297073.9558
MEM 130.343750 1572297074.0564
MEM 130.574219 1572297074.1582
MEM 130.894531 1572297074.2587
MEM 131.128906 1572297074.3594
MEM 131.914062 1572297074.4623
MEM 132.675781 1572297074.5640
MEM 132.722656 1572297074.6647
MEM 133.058594 1572297074.7653
MEM 133.277344 1572297074.8660
MEM 133.824219 1572297074.9666
MEM 134.082031 1572297075.0673
MEM 134.496094 1572297075.1679
MEM 135.171875 1572297075.2686
MEM 135.765625 1572297075.3692
MEM 136.027344 1572297075.4698
MEM 136.046875 1572297075.5705
MEM 136.812500 1572297075.6710
MEM 136.812500 1572297075.7717
MEM 137.015625 1572297075.8723
MEM 137.214844 1572297075.9729
MEM 137.281250 1572297076.0735
MEM 137.281250 1572297076.1741
MEM 138.000000 1572297076.2754
MEM 138.878906 1572297076.3760
MEM 138.964844 1572297076.4766
MEM 138.941406 1572297076.5772
MEM 139.085938 1572297076.6778
MEM 139.085938 1572297076.7784
MEM 139.019531 1572297076.8789
MEM 139.167969 1572297076.9795
MEM 139.167969 1572297077.0800
MEM 140.121094 1572297077.1830
MEM 140.175781 1572297077.2837
MEM 140.171875 1572297077.3843
MEM 140.425781 1572297077.4849
MEM 141.011719 1572297077.5855
MEM 141.367188 1572297077.6861
MEM 141.703125 1572297077.7868
MEM 141.949219 1572297077.8901
MEM 142.351562 1572297077.9908
MEM 142.605469 1572297078.0914
MEM 142.785156 1572297078.1920
MEM 143.046875 1572297078.2926
MEM 143.097656 1572297078.3932
MEM 143.722656 1572297078.4938
MEM 144.027344 1572297078.5944
MEM 144.355469 1572297078.6951
MEM 144.570312 1572297078.7957
MEM 144.738281 1572297078.8964
MEM 144.839844 1572297078.9969
MEM 143.484375 1572297079.0974
MEM 144.191406 1572297079.1979
MEM 144.468750 1572297079.2985
MEM 144.683594 1572297079.3990
MEM 144.683594 1572297079.4996
MEM 145.148438 1572297079.6001
MEM 145.761719 1572297079.7089
MEM 145.859375 1572297079.8095
MEM 146.140625 1572297079.9100
MEM 146.445312 1572297080.0105
MEM 146.945312 1572297080.1109
MEM 147.359375 1572297080.2114
MEM 147.816406 1572297080.3119
MEM 148.468750 1572297080.4124
MEM 148.570312 1572297080.5129
MEM 148.964844 1572297080.6134
MEM 149.269531 1572297080.7140
